Date,BTC_vol_forecast,ETH_vol_forecast,SOL_vol_forecast
2023-01-31,0.22550084,0.38200095,0.5735857
2023-02-01,0.22550084,0.38200095,0.5735857
2023-02-02,0.22550084,0.38200095,0.5735857
2023-02-03,0.22550084,0.38200095,0.5735857
2023-02-04,0.22550084,0.38200095,0.5735857
2023-02-05,0.22550084,0.38200095,0.5735857
2023-02-06,0.22550084,0.38200095,0.5735857
2023-02-07,0.22550084,0.38200095,0.5735857
2023-02-08,0.22550084,0.38200095,0.5735857
2023-02-09,0.22550084,0.38200095,0.5735857
2023-02-10,0.22550084,0.38200095,0.5735857
2023-02-11,0.22550084,0.38200095,0.5735857
2023-02-12,0.22550084,0.38200095,0.5735857
2023-02-13,0.22550084,0.38200095,0.5735857
2023-02-14,0.22550084,0.38200095,0.5735857
2023-02-15,0.22550084,0.38200095,0.5735857
2023-02-16,0.22550084,0.38200095,0.5735857
2023-02-17,0.22550084,0.38200095,0.5735857
2023-02-18,0.22550084,0.38200095,0.5735857
2023-02-19,0.22550084,0.38200095,0.5735857
2023-02-20,0.22550084,0.38200095,0.5735857
2023-02-21,0.22550084,0.38200095,0.5735857
2023-02-22,0.22550084,0.38200095,0.5735857
2023-02-23,0.22550084,0.38200095,0.5735857
2023-02-24,0.22550084,0.38200095,0.5735857
2023-02-25,0.22550084,0.38200095,0.5735857
2023-02-26,0.22550084,0.38200095,0.5735857
2023-02-27,0.22550084,0.38200095,0.5735857
2023-02-28,0.22550084,0.38200095,0.5735857
2023-03-01,0.22550084,0.38200095,0.5735857
2023-03-02,0.22550084,0.38200095,0.5735857
2023-03-03,0.24148376,0.38198465,0.5694854
2023-03-04,0.26778284,0.3812765,0.5653714
2023-03-05,0.29674438,0.38335565,0.56281155
2023-03-06,0.32318574,0.38743415,0.5618703
2023-03-07,0.34752026,0.39372128,0.563254
2023-03-08,0.36681655,0.40070313,0.57085377
2023-03-09,0.3800055,0.40667373,0.5822548
2023-03-10,0.39349052,0.4065878,0.59798515
2023-03-11,0.4024507,0.40607488,0.6277303
2023-03-12,0.40699723,0.40508845,0.6559089
2023-03-13,0.4134149,0.40743494,0.68995625
2023-03-14,0.42355338,0.4098642,0.71353817
2023-03-15,0.43298388,0.40953538,0.72247875
2023-03-16,0.4409194,0.40583754,0.7177277
2023-03-17,0.43736836,0.40302274,0.70426494
2023-03-18,0.42247054,0.4016221,0.69316113
2023-03-19,0.4078068,0.39740938,0.6778726
2023-03-20,0.38942394,0.39240906,0.6560033
2023-03-21,0.37032917,0.3836548,0.6341306
2023-03-22,0.35092402,0.37716454,0.6137452
2023-03-23,0.33537102,0.3659541,0.59100926
2023-03-24,0.31896532,0.35651127,0.5746019
2023-03-25,0.3015683,0.34535426,0.5548101
2023-03-26,0.28486684,0.33720702,0.53911203
2023-03-27,0.27005416,0.33517948,0.5296088
2023-03-28,0.26452637,0.33467793,0.5218092
2023-03-29,0.26490578,0.3395508,0.52230877
2023-03-30,0.2684115,0.34635577,0.53271
2023-03-31,0.27444065,0.35423696,0.5421598
2023-04-01,0.28303978,0.3656112,0.5516193
2023-04-02,0.29175085,0.37571394,0.5591042
2023-04-03,0.3016118,0.38340288,0.5630905
2023-04-04,0.31050184,0.3898377,0.5653342
2023-04-05,0.31822163,0.39635387,0.56972855
2023-04-06,0.31943923,0.39956284,0.5751214
2023-04-07,0.32020992,0.39913732,0.5763251
2023-04-08,0.31693363,0.39727685,0.57508945
2023-04-09,0.3103975,0.39330983,0.5695265
2023-04-10,0.30526084,0.39105713,0.5626099
2023-04-11,0.29852188,0.3888308,0.5616725
2023-04-12,0.29110625,0.38661283,0.5703115
2023-04-13,0.28494194,0.38715535,0.5808059
2023-04-14,0.27691674,0.39100486,0.5901736
2023-04-15,0.2692609,0.39639503,0.5942748
2023-04-16,0.26371273,0.4009386,0.592856
2023-04-17,0.2556444,0.40485647,0.59645
2023-04-18,0.24861313,0.40716204,0.59732103
2023-04-19,0.24311674,0.4122493,0.59983444
2023-04-20,0.2507413,0.41020742,0.5952391
2023-04-21,0.26505005,0.4100452,0.59136266
