Date,BTC,ETH,SOL
2023-01-01,9244361700,2399674550,194221164
2023-01-02,12097775227,3765758498,558570124
2023-01-03,13903079207,3392972131,1149255381
2023-01-04,18421743322,6404416893,1142852070
2023-01-05,13692758566,4001786456,564255825
2023-01-06,14413662913,4977252792,517147909
2023-01-07,7714767174,2565213548,210349250
2023-01-08,9768827914,3495088905,535020165
2023-01-09,18624736866,7990438824,2029272608
2023-01-10,15808338949,5830173253,833408341
2023-01-11,18372283782,6314904311,630606082
2023-01-12,34971338710,12230193038,884719784
2023-01-13,29225029694,7684148212,1037251176
2023-01-14,38967784639,15444626014,3399684035
2023-01-15,19298407543,6774614499,1661787281
2023-01-16,26792494050,8454485431,1596086615
2023-01-17,24999983362,7599462786,926501252
2023-01-18,30005625418,10354880595,1427677518
2023-01-19,21152848261,6432638856,799641392
2023-01-20,28799154319,8528894754,1419157455
2023-01-21,32442278429,8859250310,1948796870
2023-01-22,24746386230,7517988734,1029738787
2023-01-23,26518700512,8264507375,874649827
2023-01-24,26405069715,8180274691,837211317
2023-01-25,30685366709,10598973448,1166026842
2023-01-26,26357839322,8395315241,809826004
2023-01-27,25383335641,8124465373,682926581
2023-01-28,14712928379,5803653357,489857934
2023-01-29,27423687259,8801292300,1131621628
2023-01-30,27205595568,9180418120,1084170329
2023-01-31,22837828665,6585191019,617019880
2023-02-01,26683255504,8116969489,984317489
2023-02-02,32066936882,10558081069,1017290364
2023-02-03,27083066007,8169519805,643813200
2023-02-04,15639298538,5843302512,321758043
2023-02-05,19564262605,6926696531,578466008
2023-02-06,23825006542,6919871886,449884793
2023-02-07,27187964471,8030277434,625438600
2023-02-08,25371367758,7806089579,534148944
2023-02-09,32572572185,10524969124,797436250
2023-02-10,27078406594,8397387897,654189930
2023-02-11,16356226232,5064007416,267159267
2023-02-12,17821046406,5319698775,532943787
2023-02-13,23918742607,9363855114,693292656
2023-02-14,26792596581,9249575045,865868623
2023-02-15,32483312909,10015035156,747616299
2023-02-16,39316664596,12704861676,885086333
2023-02-17,41358451255,9802443159,580803415
2023-02-18,19625427158,5491437195,370892073
2023-02-19,25555105670,6959144003,993875671
2023-02-20,28987376573,7703604237,1459545676
2023-02-21,31252098714,8721608198,925847245
2023-02-22,30199996781,9189387004,892548647
2023-02-23,30476264066,9013236167,579213279
2023-02-24,26811744928,8909129423,612377428
2023-02-25,16100721565,5657686235,547286025
2023-02-26,16644534842,5727967432,370371591
2023-02-27,22660763494,7239824677,475987023
2023-02-28,20535363434,6323676957,351065863
2023-03-01,24662841200,7701847224,346532018
2023-03-02,20386398516,7080950926,322545445
2023-03-03,26062404610,9922240199,489228523
2023-03-04,11166012913,4389045367,249364880
2023-03-05,13317001733,5020886238,278729462
2023-03-06,17353192895,5245153345,318022843
2023-03-07,22765452204,6854058349,394901279
2023-03-08,22536575684,7130327525,620543521
2023-03-09,30364664171,9457897583,754162560
2023-03-10,39578257695,12665194936,944032048
2023-03-11,30180288176,14917080154,696894876
2023-03-12,29279035521,11480965122,666940879
2023-03-13,49466362688,15711468959,1161164364
2023-03-14,54622230164,16159781303,1130224251
2023-03-15,43655701450,12715339905,816614774
2023-03-16,33866061747,9364980166,438673097
2023-03-17,50730261335,12467445117,623518286
2023-03-18,35723036817,10317822213,789771840
2023-03-19,37769448859,9170565472,475166077
2023-03-20,44774027664,10978325507,1147250538
2023-03-21,36102192830,10758627746,745081556
2023-03-22,33382021890,12484103560,851680842
2023-03-23,24220433689,11012966854,555730954
2023-03-24,25980310960,10913669383,547225198
2023-03-25,13383005987,6614309912,272949711
2023-03-26,13878363192,6990313307,226663968
2023-03-27,18188895178,8585750760,359607077
2023-03-28,17783600385,8346890042,347656506
2023-03-29,20684945906,9136176952,378726667
2023-03-30,22435349951,9724496987,472449267
2023-03-31,19001327598,9149379763,352864960
2023-04-01,10876469901,5556443606,209186327
2023-04-02,12284641999,6199721188,229561591
2023-04-03,19556501327,9643826401,437266506
2023-04-04,15284538859,10398322335,305630170
2023-04-05,17052315986,10319231689,324885702
2023-04-06,13837809380,8263191830,222557225
2023-04-07,10861680497,8356130492,171660856
2023-04-08,9373255556,5016362733,194413927
2023-04-09,12175322951,6361497715,152580905
2023-04-10,19282400094,8380134275,224169192
2023-04-11,20121259843,8877222956,1083533914
2023-04-12,18651929926,11010714187,1204250258
2023-04-13,17487721001,12546950499,792335438
2023-04-14,22659995079,16298099411,859037933
2023-04-15,11940685378,8036468153,379745930
2023-04-16,12854816417,7898126856,466841333
2023-04-17,17872186762,9648882546,789077237
2023-04-18,19480529496,9134015143,487693856
2023-04-19,24571565421,13779745451,836873906
2023-04-20,21340360360,11324135406,658826580
2023-04-21,20759504330,12044274581,489546774
2023-04-22,13125734602,6970642726,246809009
2023-04-23,12785446832,6607451862,314447869
2023-04-24,17703288330,8438191338,358681450
2023-04-25,17733373139,8677255481,367752382
2023-04-26,31854242019,14356524696,690088236
2023-04-27,27153445027,14008145806,509745191
2023-04-28,17544464887,7691759733,511781472
2023-04-29,10662634333,4796651246,369964075
2023-04-30,14652199272,6539641957,368042267
2023-05-01,18655599976,8625783201,438350469
2023-05-02,16432924527,7536785767,296722866
2023-05-03,19122972518,8306390869,445797367
2023-05-04,15548678514,6578438233,291826693
2023-05-05,17936566518,9498261360,423211212
2023-05-06,15913866714,9623243037,351934449
2023-05-07,11301355486,6883942236,303626005
2023-05-08,19122903752,9895102899,553548056
2023-05-09,14128593256,6129516088,272780907
2023-05-10,20656025026,9945549603,490700208
2023-05-11,16724343943,8353828312,376535594
2023-05-12,19313599897,9047198660,362726295
2023-05-13,9999171605,4647630864,224618367
2023-05-14,10014858959,4711210241,184522451
2023-05-15,14413231792,6748889346,307353987
2023-05-16,12732238816,5595959668,279283146
2023-05-17,15140006925,6352161579,279742763
2023-05-18,15222938600,5673124255,293327002
2023-05-19,11258983301,4796110259,149073606
2023-05-20,7044911360,2951655969,121021517
2023-05-21,8647416921,3386768865,210641913
2023-05-22,11056770492,4534841049,216922971
2023-05-23,13697203143,6820047160,258761187
2023-05-24,16299104428,7101647419,297840141
2023-05-25,13851122697,6321689859,194537149
2023-05-26,12711619225,5451414258,140228468
2023-05-27,7892015141,3216737652,179682882
2023-05-28,14545229578,6359610561,291460886
2023-05-29,15181308984,5884674572,228295637
2023-05-30,13251081851,5363439784,367512387
2023-05-31,15656371534,5984512548,246152341
2023-06-01,14678970415,5640027197,209047110
2023-06-02,14837415000,6097746022,237609887
2023-06-03,8385597470,3472274607,144933830
2023-06-04,9360912318,3747042696,317802167
2023-06-05,21513292646,9246593033,594214946
2023-06-06,21929670693,8704411776,441408235
2023-06-07,19530045082,7919894455,390444801
2023-06-08,11904824295,4536041931,258460307
2023-06-09,11015551640,4610831509,463344687
2023-06-10,19872933189,10788500406,1230339924
2023-06-11,10732609603,4559112981,446176848
